timestamp,location,item,classification
1763299237.2280178,"(386, 0)",soda can,recycling
1763299247.2628522,"(357, 164)",soda can,recycling
1763299250.7107198,"(232, 214)",plate,trash
1763299257.325931,"(419, 300)",soda can,recycling
1763299284.8979425,"(257, 258)",pen,compost
1763299285.185073,"(302, 205)",soda can,recycling
1763299523.9746873,"(409, 255)",pen,compost
1763299535.052615,"(410, 205)",pen,compost
1763299543.974729,"(354, 157)",soda can,recycling
1763299545.1293523,"(513, 9)",pen,compost
1763299549.5331712,"(469, 0)",plate,trash
1763299559.5484195,"(242, 125)",plate,trash
1763299561.906644,"(346, 0)",soda can,recycling
1763299571.9698503,"(443, 64)",soda can,recycling
1763299575.9761856,"(505, 259)",pen,compost
1763299586.0706453,"(454, 296)",pen,compost
1763299587.7959173,"(303, 142)",plate,trash
1763299587.8951595,"(481, 109)",soda can,recycling
1763299597.2681198,"(423, 107)",pen,compost
1763299650.5609574,"(384, 211)",soda can,recycling
1763300216.1842587,"(376, 166)",pen,compost
1763300218.3193097,"(396, 298)",soda can,recycling
1763300240.8874633,"(0, 0)",plate,trash
1763300250.835306,"(484, 133)",pen,compost
1763300654.0256124,"(209, 207)",plate,trash
1763300657.450525,"(431, 349)",pen,compost
1763300680.7279887,"(459, 171)",soda can,recycling
1763300927.8700957,"(359, 196)",soda can,recycling
1763300947.166431,"(366, 85)",soda can,recycling
1763300951.1213837,"(472, 177)",plate,trash
1763301073.258112,"(401, 37)",soda can,recycling
1763301075.361902,"(314, 119)",bag,compost
1763301085.3871932,"(382, 236)",bag,compost
1763301096.4041831,"(383, 132)",bag,compost
1763301097.781802,"(391, 142)",soda can,recycling
1763301148.243918,"(129, 230)",soda can,recycling
1763301221.542799,"(239, 105)",water bottle,compost
1763301228.2798119,"(403, 130)",soda can,recycling
1763301303.2262785,"(302, 0)",plate,trash
1763301312.3408844,"(267, 0)",soda can,recycling
1763301329.8025303,"(314, 116)",plate,trash
1763301340.2824152,"(228, 0)",plate,trash
1763301340.487009,"(241, 51)",soda can,recycling
1763301340.7666023,"(314, 0)",water bottle,compost
1763301350.3055878,"(299, 0)",plate,trash
1763301350.5083725,"(333, 0)",soda can,recycling
1763301359.2012877,"(420, 23)",water bottle,compost
1763301360.5582092,"(239, 94)",soda can,recycling
1763301363.5483134,"(234, 0)",plate,trash
1763301375.3561094,"(310, 78)",soda can,recycling
1763301404.3894284,"(348, 115)",water bottle,compost
1763301411.502702,"(456, 137)",soda can,recycling
1763301414.4775696,"(440, 137)",water bottle,compost
1763301419.789438,"(264, 52)",plate,trash
